Country Name,Number of Businesses
Afghanistan,2312
Albania,2260
Algeria,126773
Andorra,5
Angola,602
Anguilla,78
Antigua & Barbuda,109
Argentina,1876613
Armenia,669
Aruba,304
Australia,1873101
Austria,547330
Azerbaijan,743
Bahamas,705
Bahrain,54126
Bangladesh,4194
Barbados,528
Belarus,187316
Belgium,1597753
Belize,635
Benin,444
Bermuda,1394
Bhutan,105
Bolivia,1256
Bosnia-herzegovina,41380
Botswana,3348
Brazil,14416630
Brunei,153
Bulgaria,474093
Burkina Faso,216
Burundi,64
Cambodia,731
Cameroon,756
Canada,1536428
Cape Verde,98
Cayman Islands,2899
Central African Rep,50
Chad,106
Chile,775308
China,10492382
Colombia,2013112
Comoros,33
Congo,181
Congo Democratic Rep,974
Cook Islands,32
Costa Rica,2652
Croatia,134707
Cyprus,23660
Czech Republic,1442568
Denmark,495961
Djibouti,139
Dominica,76
Dominican Republic,118764
Ecuador,80497
Egypt,3635
El Salvador,1438
United Kingdom,2579860
Equatorial Guinea,43
Eritrea,10
Estonia,112271
Ethiopia,7584
Falkland Islands,19
Faroe Islands,1098
Fiji,406
Finland,564997
France,3497529
French Guiana,11842
French Polynesia,305
Gabon,199
Gambia,119
Georgia,1124
Germany,3589126
Ghana,1606
Gibraltar,446
Greece,106385
Greenland,7792
Grenada,55
Guadeloupe,46092
Guam,1041
Guatemala,2198
Guinea,168
Guinea-bissau,37
Guyana,179
Haiti,581
Honduras,1201
Hong Kong,226049
Hungary,490583
Iceland,9245
India,4696780
Indonesia,60732
Iran,14867
Iraq,3343
Ireland,302586
Israel,196096
Italy,6161470
Ivory Coast,745
Jamaica,836
Japan,4533086
Jordan,16322
Kazakhstan,420815
Kenya,2817
Kiribati,8
"Korea, Rep.",2509506
Kuwait,7207
Kyrgyzstan,75033
Laos,14
Latvia,51508
Lebanon,9835
Lesotho,408
Liberia,301
Libya,247
Liechtenstein,8850
Lithuania,33366
Luxembourg,137411
Macao,866
Macedonia,3644
Madagascar,280
Malawi,575
Malaysia,11065
Maldives,255
Mali,230
Malta,3038
Martinique,38592
Mauritania,92
Mauritius,13229
Mexico,105953
Micronesia Fed St,83
Moldova,101307
Monaco,321
Montserrat,12
Morocco,441414
Mozambique,879
Myanmar,76
Namibia,4532
Nauru,5
Nepal,1048
Netherlands,1381025
New Zealand,250390
Nicaragua,763
Niger,155
Nigeria,7486
Norfolk Island,1
Northern Ireland,59702
Northern Mariana Is,168
Norway,810545
Oman,5395
Pakistan,4081
Panama,3441
Papua New Guinea,499
Paraguay,1409
Peru,2295791
Philippines,69706
Poland,4800025
Portugal,549291
Qatar,6838
Reunion,44530
Romania,574530
Russian Federation,3928920
Rwanda,484
San Marino,3324
Sao Tome & Principe,14
Saudi Arabia,6182
Scotland,211306
Senegal,719
Seychelles,254
Sierra Leone,257
Singapore,469292
Slovak Republic,544302
Slovenia,173766
Solomon Islands,52
Somalia,111
South Africa,307747
Spain,1739022
Sri Lanka,2277
St Helena,4
St Kitts-nevis,148
St Lucia,145
St Vincent,137
Sudan,270
Suriname,244
Swaziland,1113
Sweden,1300446
Switzerland,620374
Syria,3004
Taiwan,349841
Tajikistan,198
Tanzania,1202
Thailand,571244
Togo,300
Tonga,39
Trinidad & Tobago,1061
Tunisia,18446
Turkey,258259
Turkmenistan,64
Turks & Caicos Is,67
Tuvalu,3
Uganda,1199
Ukraine,1149933
United Arab Emirates,31413
Uruguay,2160
United States,17434021
Uzbekistan,364
Vanuatu,63
Venezuela,3100
Vietnam,495449
British Virgin Islands,4387
Wake Island,2
Wales,114065
Yemen,887
Zambia,722
Zimbabwe,475
