Location,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Australia,6.16,4.35,4.96,4.97,5.48,5.77,6.29,6.68,5.67,4.6,4.53,5.01,4.98,4.77,4.5,4.25,4.57,
Austria,1.95,2.96,2.13,2.09,2.18,2.14,2.1,2.33,2.37,1.63,1.86,1.99,2,2.15,2.1,2.22,2.37,2.47
Belgium,3.13,3.04,2.96,2.8,3.01,3.15,3.48,3.41,3.27,2.33,2.53,2.81,2.99,3.11,3.15,3.33,3.46,4.14
Canada,4.25,3.16,2.98,3.18,3.44,3.39,3.78,3.45,3.24,3.37,3.25,3.17,3.18,3.29,3.35,3.41,3.44,3.42
Chile,2.1,1.98,1.98,2.38,3.23,4.58,6.29,6.67,5.12,4.25,3.99,4.93,5.82,4.38,4.17,4.29,4.22,4.26
Czech Republic,3.2,3.67,3.98,4.25,4.22,4.15,4.39,4.48,4.05,3.39,3.24,3.22,3.33,3.43,3.52,3.59,3.75,3.71
Denmark,3.17,2.71,2.79,2.8,2.89,3.42,3.68,3.14,2.55,1.9,2.25,2.17,2.6,2.74,2.77,2.71,2.69,3.04
Estonia,0.89,0.69,1.11,1.58,1.66,1.42,1.48,1.61,1.61,1.81,1.32,1.21,1.41,1.73,1.72,2.05,1.7,1.55
Finland,5.72,4.04,4.04,3.27,3.38,3.19,3.25,3.73,3.34,1.93,2.44,2.62,2.11,2.36,1.93,2.17,2.22,2.74
France,3,3.29,2.8,2.42,2.69,2.35,2.9,2.89,2.84,1.43,2.34,2.63,2.58,2.64,2.31,2.08,2.04,2.35
Germany,1.75,0.58,0.98,1.23,1.5,1.74,2.11,2.18,1.89,1.32,1.49,1.68,1.71,1.76,1.71,1.71,1.96,2.01
Greece,3.99,3.24,3.24,2.8,2.87,3.21,2.61,2.45,2.43,2.51,2.53,2.07,1.09,1.15,1.88,2.15,2.51,
Hungary,2.19,2.28,2.27,2.16,2.13,2.06,2.29,2.73,2.57,2.19,1.21,1.2,1.28,1.38,1.64,1.79,2.35,1.86
Iceland,1.19,1.01,0.85,1.2,0.99,1.93,2.35,2.38,1.83,1.66,0.9,1.73,1.9,2.13,3.31,2.35,2.53,2.79
Ireland,3.6,3.41,3.54,3.55,3.42,3.24,3.62,3.24,2.7,2.29,2.35,2.19,2.26,2.38,2.37,2.62,2.69,2.79
Israel,3.34,2.98,2.44,2.52,2.94,3.43,4.36,4.12,3.19,2.53,2.65,2.95,2.73,3.47,3.17,2.98,3.1,3.32
Italy,2.8,3.37,3,2.66,2.71,2.25,2.77,3.14,2.93,2.38,2.29,2.19,2.39,2.57,2.18,2.05,2.15,2.1
Japan,3.54,3.36,3.03,3.19,3.58,4.07,4.58,4.63,3.74,2.48,3.08,3.23,3.52,3.82,3.91,3.77,3.67,4.03
"Korea, Rep.",3.03,2.67,2.8,3.47,3.13,3.59,3.37,3.73,3.93,3.41,3.23,3.72,3.69,3.39,3.16,3.3,3.58,3.83
Latvia,1.53,1.88,1.95,1.45,1.68,1.9,2.12,2.52,2.98,1.55,0.98,1.4,1.62,1.62,1.54,1.6,1.7,1.59
Lithuania,0.68,0.53,0.59,1.36,1.86,2.08,2.75,2.53,2.71,1.82,0.99,0.81,1.3,1.36,1.37,1.53,1.62,1.51
Luxembourg,6.64,6.94,7.67,7.23,5.62,5.84,4.97,5.32,5.25,5.61,5.75,4.98,5.12,4.76,4.28,4.41,4.64,5.24
Mexico,,,1.63,1.56,1.34,1.42,1.61,1.89,1.74,1.58,1.85,2.07,1.82,2.41,2.53,3.2,3.49,3.53
Netherlands,4.01,3.9,3.3,2.83,3.07,3.4,3.42,3.4,3.27,2.13,2.28,2.16,2.1,2.16,2.54,2.67,3.35,3.28
New Zealand,4.02,3.64,4.14,4.51,5.29,6.05,5.57,4.8,4.32,3.34,3.7,3.94,4.52,4.37,4.18,4.42,4.91,4.72
Norway,8.77,8.72,8.03,7.91,9.7,11.53,12.59,10.84,11.98,8.97,9.85,10.75,10.32,8.25,6.62,4.5,4.02,4.61
OECD - Average,3.17,2.9,2.83,2.84,3.02,3.3,3.55,3.59,3.28,2.65,2.67,2.79,2.8,2.79,2.75,2.76,2.87,2.93
Poland,2.39,1.79,1.98,1.75,1.94,2.13,2.38,2.72,2.68,2.24,1.95,2.02,2.08,1.77,1.75,1.84,1.84,1.94
Portugal,3.69,3.22,3.25,2.73,2.81,2.6,2.83,3.46,3.51,2.75,2.73,3.13,2.75,3.26,2.85,3.12,3.06,3.25
Slovak Republic,2.57,2.56,2.48,2.7,2.54,2.67,2.84,2.91,3.05,2.46,2.46,2.41,2.36,2.85,3.28,3.7,3.49,3.21
Slovenia,1.14,1.23,1.54,1.7,1.89,2.72,2.92,3.18,2.46,1.8,1.84,1.66,1.24,1.2,1.41,1.46,1.59,1.76
Spain,3.03,2.76,3.06,3.07,3.44,3.84,4.11,4.69,2.82,2.25,1.9,1.83,2.17,2.1,2.06,2.35,2.25,2.31
Sweden,3.69,2.63,2.13,2.27,2.86,3.51,3.46,3.52,2.82,2.83,3.29,3.09,2.57,2.65,2.69,2.95,2.74,2.63
Switzerland,2.45,2.71,2.38,2.24,2.17,2.24,2.73,2.78,2.92,2.8,2.67,2.79,2.77,2.77,2.77,2.96,3.14,3.26
Turkey,1.72,1.74,1.72,2.01,1.69,1.66,1.41,1.56,1.7,1.8,1.8,1.94,1.85,1.6,1.58,1.43,1.65,1.7
United Kingdom,3.49,3.03,2.64,2.54,2.94,3.42,3.47,3.3,2.9,2.57,2.87,2.9,2.66,2.55,2.47,2.42,2.71,2.83
United States,2.23,1.57,1.43,1.82,2.23,2.86,3.07,2.67,1.69,1.38,1.78,1.77,2.02,2.12,2.28,2.13,1.98,1.92
